session_id,attention_mean,attention_std,attention_max,meditation_mean,meditation_std,meditation_max,theta_mean,low_alpha_mean,high_beta_mean
0067,65.7,16.88,100,48.29,12.4,77,187014.57,46196.94,22932.85
20,58.33,28.81,90,60.61,32.21,100,442161.56,182353.56,98956.0
0065,57.98,22.67,100,41.35,18.23,81,216180.1,48790.36,29820.68
S20260330_123803,57.85,25.34,100,46.21,11.88,69,262145.81,81188.64,23959.32
0061,56.34,21.43,100,43.75,20.48,100,227489.99,47679.23,15671.27
038,55.87,18.88,100,58.32,16.01,96,166312.4,45316.93,17535.77
S20260330_123710,54.62,20.05,88,55.04,21.06,100,278405.49,43017.8,22285.42
19,52.27,23.6,100,49.81,15.95,91,231830.33,62292.84,18294.53
S20260330_115300,52.06,17.41,87,67.06,20.27,94,239128.72,28470.89,19723.22
S20260330_121029,51.88,16.33,100,55.69,18.86,100,203959.73,41941.01,26334.39
S20260330_120530,51.66,16.14,81,53.93,15.51,97,136653.12,30085.54,19074.41
0056,50.74,18.17,100,52.42,20.69,100,295433.1,79041.46,55672.88
03,49.59,9.33,70,53.69,9.83,78,284266.34,73540.32,17314.69
S20260330_120224,46.37,10.26,63,56.74,11.47,84,254382.19,67094.85,39191.48
001,46.0,20.4,100,37.02,15.47,87,278423.85,64522.13,22756.88
bikash,45.83,24.93,100,34.54,20.13,83,279946.88,97274.9,22268.78
S20260330_122333,45.53,18.18,84,61.97,19.65,100,576176.58,261811.92,43674.03
0054,45.41,20.66,100,50.91,19.85,97,240507.74,66920.5,26672.92
22,43.69,22.0,81,57.86,24.16,94,200978.28,79912.69,36404.03
0086,43.68,21.62,100,58.42,22.24,100,280430.64,87610.54,21074.23
46,43.35,19.42,78,28.97,14.69,61,286154.09,68974.03,18431.5
39,42.5,22.52,100,65.58,19.61,100,159507.09,38575.27,23540.68
S20260330_114635,41.95,16.15,77,47.0,18.29,78,190314.48,34604.54,18058.72
28,40.92,19.25,81,50.36,20.21,100,138917.96,40727.29,16768.1
0091,40.44,22.16,81,42.58,21.62,93,543822.0,141216.35,77811.38
S20260330_120442,40.1,26.34,97,37.6,12.86,67,169183.6,37462.1,14488.1
S20260330_120921,37.67,19.26,78,55.02,18.6,100,122564.8,26459.89,16010.95
S20260330_121502,35.97,15.09,77,56.92,17.46,96,206319.35,39331.76,16759.04
0070,33.22,22.69,77,40.93,20.72,77,219832.85,56276.07,18088.63
27,31.43,30.17,88,41.21,21.37,80,178774.86,61735.21,12315.71
0080,30.66,16.41,66,45.66,20.5,84,269352.25,58443.66,21152.62
0096,29.19,26.03,77,30.28,29.83,74,225182.97,41142.53,24946.91
S20260330_122207,29.0,24.02,53,40.67,31.82,66,778081.33,204691.0,100179.33
S20260330_124305,28.13,16.54,51,45.2,27.47,90,369331.27,152538.13,41029.8
43,27.88,14.53,44,36.82,25.37,88,367591.24,111847.24,22206.06
S20260330_122652,27.25,24.06,63,17.75,21.64,61,443490.38,58806.75,36416.0
6,26.44,18.24,61,71.75,8.02,80,246505.56,59990.25,50046.88
002,20.0,44.72,100,9.6,21.47,48,196989.6,220744.2,99585.6
15,18.02,10.08,44,47.17,19.61,88,238870.33,84183.5,23362.79
00061,3.0,5.52,16,45.43,25.03,78,479049.14,203421.29,96689.14
0074,0.0,,0,0.0,,0,613446.0,285180.0,143016.0
48,0.0,,0,0.0,,0,705172.0,105560.0,21426.0
11_aman,0.0,0.0,0,0.0,0.0,0,49843.5,7512.0,26002.5
0093,0.0,,0,0.0,,0,240965.0,43478.0,160247.0
S20260330_115137,0.0,,0,0.0,,0,117174.0,11563.0,3726.0
